method,hybrid,none,oversampling,undersampling
Old,0.7228,0.7216,0.7063,0.7241
New,0.8310,0.8586,0.8194,0.8585
Retrain,0.8166,0.8409,0.7953,0.8420
Finetune,0.8083,0.8448,0.7914,0.8469
