test_feature_year,test_event_year,validation_feature_year,validation_event_year,method,n_validation,n_validation_positive,n_test,n_test_positive,prevalence,f1_threshold_from_validation,fpr5_threshold_from_validation,validation_AUC,validation_PR_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Balanced_Accuracy,validation_Cohen_Kappa,validation_Type1_Error,validation_Type2_Error,validation_Recall_at_5pctFPR,validation_Precision_at_5pctFPR,validation_Realized_FPR_at_5pctFPR,validation_Alerts_at_5pctFPR,AUC,PR_AUC,F1,G_Mean,Recall,Precision,Balanced_Accuracy,Cohen_Kappa,Type1_Error,Type2_Error,Recall_at_5pctFPR,Precision_at_5pctFPR,Realized_FPR_at_5pctFPR,Alerts_at_5pctFPR,seed,protocol_version
2009,2010,2008,2009,Recent3y,3857,58,3743,23,0.00614480363345,0.19,0.0359878726304,0.842299697743,0.101775502144,0.188976377953,0.451433590394,0.206896551724,0.173913043478,0.595946301658,0.175504062594,0.0150039484075,0.793103448276,0.379310344828,0.109452736318,0.0471176625428,201,0.84585086489,0.0413449027322,0.093023255814,0.294169618377,0.0869565217391,0.1,0.541058906031,0.0878090846034,0.00483870967742,0.913043478261,0.260869565217,0.06,0.0252688172043,100,42,study3_ab_fair_event_target_v1_financial18_exploratory
2009,2010,2008,2009,B_data_equal,3857,58,3743,23,0.00614480363345,0.14,0.0321357958019,0.829887175391,0.108927191924,0.228571428571,0.520643370458,0.275862068966,0.19512195122,0.629244538036,0.214738683578,0.0173729928929,0.724137931034,0.431034482759,0.116822429907,0.0497499341932,214,0.789399251987,0.0844617741085,0.08,0.293891368557,0.0869565217391,0.0740740740741,0.540118045816,0.073853734105,0.00672043010753,0.913043478261,0.260869565217,0.0576923076923,0.0263440860215,104,42,study3_ab_fair_event_target_v1_financial18_exploratory
2009,2010,2008,2009,B_model_FIFO3_equal,3857,58,3743,23,0.00614480363345,0.07,0.0378263480961,0.857480643727,0.129904431267,0.21164021164,0.578577859536,0.344827586207,0.152671755725,0.657804685444,0.194856376711,0.0292182153198,0.655172413793,0.396551724138,0.114427860697,0.0468544353777,201,0.833730715288,0.0346049010916,0.106666666667,0.414329584036,0.173913043478,0.0769230769231,0.580504908836,0.098989340107,0.0129032258065,0.826086956522,0.173913043478,0.0412371134021,0.025,97,42,study3_ab_fair_event_target_v1_financial18_exploratory
2009,2010,2008,2009,A_validation_boundary_equal,3857,58,3743,23,0.00614480363345,0.07,0.0203408244997,0.823823873796,0.105260976596,0.178082191781,0.468735524173,0.224137931034,0.147727272727,0.602197946828,0.162907793979,0.0197420373783,0.775862068966,0.396551724138,0.109004739336,0.0494867070282,211,0.792169237962,0.0357672403737,0.0606060606061,0.293254377576,0.0869565217391,0.046511627907,0.537967508181,0.0530237492859,0.0110215053763,0.913043478261,0.260869565217,0.0576923076923,0.0263440860215,104,42,study3_ab_fair_event_target_v1_financial18_exploratory
2009,2010,2008,2009,FullHistory,3857,58,3743,23,0.00614480363345,0.01,0.0105611467734,0.75142732661,0.0457464967329,0.104089219331,0.478395657178,0.241379310345,0.0663507109005,0.594761779416,0.0824435347666,0.0518557515136,0.758620689655,0.241379310345,0.0696517412935,0.0492234798631,201,0.745056100982,0.0185383635498,0.0507614213198,0.455538356251,0.217391304348,0.0287356321839,0.58598059841,0.0403445727597,0.0454301075269,0.782608695652,0.217391304348,0.030303030303,0.0430107526882,165,42,study3_ab_fair_event_target_v1_financial18_exploratory
2009,2010,2008,2009,Recent1y,3857,58,3743,23,0.00614480363345,0.12,0.0300222896039,0.803932069238,0.0711182944271,0.161764705882,0.431636852062,0.189655172414,0.141025641026,0.586009476178,0.147052205221,0.0176362200579,0.810344827586,0.293103448276,0.0867346938776,0.0471176625428,196,0.750058438523,0.0584232657431,0.153846153846,0.415625159278,0.173913043478,0.137931034483,0.583596306685,0.148006745921,0.00672043010753,0.826086956522,0.173913043478,0.0421052631579,0.0244623655914,95,42,study3_ab_fair_event_target_v1_financial18_exploratory
2009,2010,2008,2009,Recent5y,3857,58,3743,23,0.00614480363345,0.05,0.036745171994,0.838718900618,0.0796910902572,0.162679425837,0.531756499207,0.293103448276,0.112582781457,0.62891550408,0.144081197367,0.0352724401158,0.706896551724,0.344827586207,0.108108108108,0.0434324822322,185,0.783204768583,0.0259507152167,0.043956043956,0.292256299745,0.0869565217391,0.0294117647059,0.534607293128,0.0350948931064,0.0177419354839,0.913043478261,0.173913043478,0.0470588235294,0.0217741935484,85,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2011,2009,2010,Recent3y,3743,23,3625,35,0.00965517241379,0.24,0.0200969018042,0.795091164095,0.0974032102189,0.235294117647,0.416636277527,0.173913043478,0.363636363636,0.586015661524,0.232241471804,0.00188172043011,0.826086956522,0.304347826087,0.0619469026549,0.0284946236559,113,0.81009948269,0.0734351786708,0.0952380952381,0.238879197485,0.0571428571429,0.285714285714,0.527875049741,0.0923168160253,0.00139275766017,0.942857142857,0.171428571429,0.0659340659341,0.0236768802228,91,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2011,2009,2010,B_data_equal,3743,23,3625,35,0.00965517241379,0.11,0.0325883105397,0.837575970079,0.0820942132491,0.16,0.415737627189,0.173913043478,0.148148148148,0.58386512389,0.154388192009,0.00618279569892,0.826086956522,0.347826086957,0.0909090909091,0.0215053763441,88,0.861352964584,0.110937613362,0.117647058824,0.292239456134,0.0857142857143,0.1875,0.541046557899,0.112269053903,0.00362116991643,0.914285714286,0.142857142857,0.0980392156863,0.0128133704735,51,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2011,2009,2010,B_model_FIFO3_equal,3743,23,3625,35,0.00965517241379,0.2,0.0167332757264,0.847755960729,0.0733671461324,0.205128205128,0.416355657654,0.173913043478,0.25,0.585343618513,0.20110024029,0.00322580645161,0.826086956522,0.304347826087,0.0380434782609,0.0475806451613,184,0.832900915241,0.123482188589,0.139534883721,0.292566072001,0.0857142857143,0.375,0.542160764027,0.136432411551,0.00139275766017,0.914285714286,0.171428571429,0.047619047619,0.033426183844,126,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2011,2009,2010,A_validation_boundary_equal,3743,23,3625,35,0.00965517241379,0.24,0.0121108079329,0.81909770921,0.137634575295,0.214285714286,0.361060460839,0.130434782609,0.6,0.5649485741,0.212557614703,0.000537634408602,0.869565217391,0.347826086957,0.0672268907563,0.0298387096774,119,0.792972542778,0.0569327358725,0.047619047619,0.16888954047,0.0285714285714,0.142857142857,0.51345005969,0.0445440168687,0.0016713091922,0.971428571429,0.2,0.0813953488372,0.0220055710306,86,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2011,2009,2010,FullHistory,3743,23,3625,35,0.00965517241379,0.13,0.0107940630987,0.763616175783,0.0866571327852,0.133333333333,0.294685671002,0.0869565217391,0.285714285714,0.542806217859,0.130840954558,0.00134408602151,0.913043478261,0.391304347826,0.0523255813953,0.0438172043011,172,0.8063350577,0.0707162157615,0.0512820512821,0.168960210481,0.0285714285714,0.25,0.513867886988,0.0493993408696,0.0008356545961,0.971428571429,0.257142857143,0.0633802816901,0.0370473537604,142,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2011,2009,2010,Recent1y,3743,23,3625,35,0.00965517241379,0.2,0.0104342680424,0.788113604488,0.11233356397,0.193548387097,0.360914764232,0.130434782609,0.375,0.564545348294,0.190982579,0.00134408602151,0.869565217391,0.304347826087,0.0760869565217,0.0228494623656,92,0.768643056108,0.0681713583582,0.05,0.168936657096,0.0285714285714,0.2,0.513728611222,0.0477013480816,0.00111420612813,0.971428571429,0.285714285714,0.10752688172,0.0231197771588,93,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2011,2009,2010,Recent5y,3743,23,3625,35,0.00965517241379,0.25,0.0327208414674,0.785472183263,0.122058954642,0.214285714286,0.361060460839,0.130434782609,0.6,0.5649485741,0.212557614703,0.000537634408602,0.869565217391,0.217391304348,0.0510204081633,0.025,98,0.833927576602,0.0487438225127,0.047619047619,0.16888954047,0.0285714285714,0.142857142857,0.51345005969,0.0445440168687,0.0016713091922,0.971428571429,0.114285714286,0.0645161290323,0.0161559888579,62,42,study3_ab_fair_event_target_v1_financial18_exploratory
