test_feature_year,validation_feature_year,boundary_year,old_years,new_years,validation_AP,validation_AUC,test_used_for_selection,seed,protocol_version
2009,2008,2002,1999-2001,2002-2007,0.0691571715845,0.77755943034,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2009,2008,2003,1999-2002,2003-2007,0.0795104484089,0.843062148841,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2009,2008,2004,1999-2003,2004-2007,0.0908455080734,0.856976881393,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2009,2008,2005,1999-2004,2005-2007,0.103234122338,0.855261366421,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2009,2008,2006,1999-2005,2006-2007,0.105260976596,0.823823873796,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2009,2008,2007,1999-2006,2007-2007,0.0816525649304,0.840874640332,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2009,2002,1999-2001,2002-2008,0.0552259204972,0.746201496026,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2009,2003,1999-2002,2003-2008,0.0245211982544,0.746014492754,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2009,2004,1999-2003,2004-2008,0.122012758154,0.791888733053,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2009,2005,1999-2004,2005-2008,0.0634773810258,0.801028517999,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2009,2006,1999-2005,2006-2008,0.0944648724809,0.780458158018,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2009,2007,1999-2006,2007-2008,0.137634575295,0.81909770921,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2010,2009,2008,1999-2007,2008-2008,0.0935226590088,0.782713884993,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2010,2002,1999-2001,2002-2009,0.0883831653441,0.780421806606,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2010,2003,1999-2002,2003-2009,0.0550765587486,0.804456824513,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2010,2004,1999-2003,2004-2009,0.0848550855813,0.842841225627,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2010,2005,1999-2004,2005-2009,0.102390153064,0.840477516912,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2010,2006,1999-2005,2006-2009,0.0917068598042,0.809574214087,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2010,2007,1999-2006,2007-2009,0.0996096733592,0.790537206526,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2010,2008,1999-2007,2008-2009,0.0879176095951,0.832296060485,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2011,2010,2009,1999-2008,2009-2009,0.0595519491346,0.83288499801,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2011,2002,1999-2001,2002-2010,0.0788131180538,0.918004587156,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2011,2003,1999-2002,2003-2010,0.0884696109882,0.90373853211,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2011,2004,1999-2003,2004-2010,0.146933536562,0.91129587156,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2011,2005,1999-2004,2005-2010,0.16564460101,0.879816513761,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2011,2006,1999-2005,2006-2010,0.129224651642,0.890412844037,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2011,2007,1999-2006,2007-2010,0.146173666878,0.896330275229,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2011,2008,1999-2007,2008-2010,0.167663843454,0.871823394495,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2011,2009,1999-2008,2009-2010,0.142629712911,0.897018348624,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2012,2011,2010,1999-2009,2010-2010,0.151613340354,0.900355504587,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2012,2002,1999-2001,2002-2011,0.128886655931,0.889919274134,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2012,2003,1999-2002,2003-2011,0.159090891447,0.874085440434,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2012,2004,1999-2003,2004-2011,0.162011883768,0.91414815309,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2012,2005,1999-2004,2005-2011,0.114282222045,0.8701936976,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2012,2006,1999-2005,2006-2011,0.161405741776,0.893277292237,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2012,2007,1999-2006,2007-2011,0.216883979715,0.901060777904,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2012,2008,1999-2007,2008-2011,0.197749873655,0.896090466342,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2012,2009,1999-2008,2009-2011,0.283134975458,0.889552338381,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2012,2010,1999-2009,2010-2011,0.270038117564,0.925467565103,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2013,2012,2011,1999-2010,2011-2011,0.159547777563,0.888929659528,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2014,2013,2002,1999-2001,2002-2012,0.116361284643,0.760695684524,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2014,2013,2003,1999-2002,2003-2012,0.106921697312,0.794229497354,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2014,2013,2004,1999-2003,2004-2012,0.148814780894,0.838448660714,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2014,2013,2005,1999-2004,2005-2012,0.107103442482,0.842013888889,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2014,2013,2006,1999-2005,2006-2012,0.160537309669,0.863611937831,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2014,2013,2007,1999-2006,2007-2012,0.131149180041,0.87181712963,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2014,2013,2008,1999-2007,2008-2012,0.143028623686,0.826337218915,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2014,2013,2009,1999-2008,2009-2012,0.177372905835,0.84392567791,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2014,2013,2010,1999-2009,2010-2012,0.130642103616,0.851572833995,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2014,2013,2011,1999-2010,2011-2012,0.120630349079,0.871403769841,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2014,2013,2012,1999-2011,2012-2012,0.194515180967,0.865286044974,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2015,2014,2002,1999-2001,2002-2013,0.0424319008578,0.83655919611,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2015,2014,2003,1999-2002,2003-2013,0.0648355675631,0.868940048715,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2015,2014,2004,1999-2003,2004-2013,0.0682161525513,0.846607824136,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2015,2014,2005,1999-2004,2005-2013,0.0765412647825,0.863570886043,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2015,2014,2006,1999-2005,2006-2013,0.0801964366188,0.86651301258,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2015,2014,2007,1999-2006,2007-2013,0.0494552223744,0.850929345311,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2015,2014,2008,1999-2007,2008-2013,0.0652193852101,0.828640772461,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2015,2014,2009,1999-2008,2009-2013,0.0633314598996,0.837781444523,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2015,2014,2010,1999-2009,2010-2013,0.0901309948365,0.849916625198,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2015,2014,2011,1999-2010,2011-2013,0.0639574641606,0.847131644884,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2015,2014,2012,1999-2011,2012-2013,0.0928040360205,0.853434954559,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2015,2014,2013,1999-2012,2013-2013,0.0894916250511,0.84741101595,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2016,2015,2002,1999-2001,2002-2014,0.132594855886,0.846112434188,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2016,2015,2003,1999-2002,2003-2014,0.175952382198,0.848831585959,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2016,2015,2004,1999-2003,2004-2014,0.164299960967,0.853266175759,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2016,2015,2005,1999-2004,2005-2014,0.179822194108,0.875357002728,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2016,2015,2006,1999-2005,2006-2014,0.156688275844,0.853430419826,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2016,2015,2007,1999-2006,2007-2014,0.125454191561,0.838447711076,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2016,2015,2008,1999-2007,2008-2014,0.130281830232,0.845811320066,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2016,2015,2009,1999-2008,2009-2014,0.142792341048,0.846030312155,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2016,2015,2010,1999-2009,2010-2014,0.122038599438,0.852271586689,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2016,2015,2011,1999-2010,2011-2014,0.142451734255,0.86017355123,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2016,2015,2012,1999-2011,2012-2014,0.176506589215,0.875037639265,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2016,2015,2013,1999-2012,2013-2014,0.148696479436,0.863066071738,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2016,2015,2014,1999-2013,2014-2014,0.146386528755,0.85304718367,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2002,1999-2001,2002-2015,0.206765196932,0.842417500927,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2003,1999-2002,2003-2015,0.140469328751,0.852112368863,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2004,1999-2003,2004-2015,0.105027966285,0.833998560492,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2005,1999-2004,2005-2015,0.10620964244,0.843420794347,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2006,1999-2005,2006-2015,0.146756995682,0.864250038169,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2007,1999-2006,2007-2015,0.163414456321,0.842232109752,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2008,1999-2007,2008-2015,0.101338324877,0.823911099479,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2009,1999-2008,2009-2015,0.131318130122,0.854566075596,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2010,1999-2009,2010-2015,0.217923174514,0.797727322297,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2011,1999-2010,2011-2015,0.117488576235,0.836157822417,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2012,1999-2011,2012-2015,0.171293965965,0.818054919409,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2013,1999-2012,2013-2015,0.0847314793899,0.803954284717,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2014,1999-2013,2014-2015,0.109995638973,0.816975288447,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2017,2016,2015,1999-2014,2015-2015,0.214500928568,0.820323234967,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2002,1999-2001,2002-2016,0.125514386655,0.884587847835,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2003,1999-2002,2003-2016,0.189006070762,0.886497064579,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2004,1999-2003,2004-2016,0.137666596542,0.875646349418,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2005,1999-2004,2005-2016,0.16956949742,0.85927481584,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2006,1999-2005,2006-2016,0.122452358186,0.87287798514,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2007,1999-2006,2007-2016,0.0953898045337,0.86641846849,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2008,1999-2007,2008-2016,0.0935679317382,0.866959413234,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2009,1999-2008,2009-2016,0.184658672593,0.837668846356,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2010,1999-2009,2010-2016,0.105874511448,0.855360921515,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2011,1999-2010,2011-2016,0.106231997244,0.871382432024,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2012,1999-2011,2012-2016,0.130661129109,0.888342640765,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2013,1999-2012,2013-2016,0.141282086701,0.872718883745,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2014,1999-2013,2014-2016,0.138066193808,0.891286016578,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2015,1999-2014,2015-2016,0.191695723326,0.867866291187,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
2018,2017,2016,1999-2015,2016-2016,0.143670468878,0.860738548677,False,42,study3_ab_fair_event_target_v1_financial18_exploratory
