test_feature_year,route,model_id,train_start,train_end,train_years,n_train,n_positive_before,n_negative_before,n_positive_after,n_negative_after,sampler,seed,resolved_model_params,protocol_version
2009,B_model,seed42_M2005,2003,2005,"2003,2004,2005",12970,115,12855,115,12816,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_exploratory
2009,B_model,seed42_M2006,2004,2006,"2004,2005,2006",12681,137,12544,137,12499,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_exploratory
2009,B_model,seed42_M2007,2005,2007,"2005,2006,2007",12342,150,12192,150,12146,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_exploratory
2009,B_data_old,seed42_Bdata_old_2009,2005,2006,"2005,2006",8333,91,8242,91,8214,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_exploratory
2009,B_data_new,seed42_Bdata_new_2009,2007,2007,2007,4009,59,3950,59,3936,TomekLinks,42,"{""eval_metric"": ""auc"", ""objective"": ""binary:logistic"", ""random_state"": 42, ""seed"": 42, ""tree_method"": ""hist"", ""verbosity"": 0}",study3b_overlap_event_target_v1_exploratory
