split,ensemble,AUC,F1,Recall
split_1+15,Dynamic_DES_KNN,0.790369,0.121019,0.529617
split_1+15,Dynamic_KNORA_E,0.726940,0.149216,0.414634
split_1+15,Dynamic_KNORA_U,0.792076,0.146214,0.487805
split_2+14,Dynamic_DES_KNN,0.783393,0.133887,0.449477
split_2+14,Dynamic_KNORA_E,0.730978,0.141827,0.411150
split_2+14,Dynamic_KNORA_U,0.785411,0.135760,0.480836
split_3+13,Dynamic_DES_KNN,0.789142,0.134615,0.463415
split_3+13,Dynamic_KNORA_E,0.744737,0.125963,0.484321
split_3+13,Dynamic_KNORA_U,0.791200,0.129113,0.540070
split_4+12,Dynamic_DES_KNN,0.798426,0.145383,0.515679
split_4+12,Dynamic_KNORA_E,0.782708,0.140590,0.540070
split_4+12,Dynamic_KNORA_U,0.798021,0.142154,0.452962
split_5+11,Dynamic_DES_KNN,0.809124,0.151532,0.473868
split_5+11,Dynamic_KNORA_E,0.766338,0.131451,0.470383
split_5+11,Dynamic_KNORA_U,0.811127,0.147810,0.564460
split_6+10,Dynamic_DES_KNN,0.802843,0.149471,0.393728
split_6+10,Dynamic_KNORA_E,0.766530,0.136185,0.421603
split_6+10,Dynamic_KNORA_U,0.804258,0.160191,0.466899
split_7+9,Dynamic_DES_KNN,0.814730,0.139116,0.592334
split_7+9,Dynamic_KNORA_E,0.788432,0.156522,0.470383
split_7+9,Dynamic_KNORA_U,0.817791,0.157135,0.512195
split_8+8,Dynamic_DES_KNN,0.819152,0.148342,0.592334
split_8+8,Dynamic_KNORA_E,0.788523,0.145241,0.560976
split_8+8,Dynamic_KNORA_U,0.816832,0.153846,0.557491
split_9+7,Dynamic_DES_KNN,0.831374,0.189125,0.557491
split_9+7,Dynamic_KNORA_E,0.820647,0.164835,0.574913
split_9+7,Dynamic_KNORA_U,0.831592,0.168616,0.602787
split_10+6,Dynamic_DES_KNN,0.840706,0.201224,0.515679
split_10+6,Dynamic_KNORA_E,0.822825,0.167158,0.592334
split_10+6,Dynamic_KNORA_U,0.837480,0.169029,0.560976
split_11+5,Dynamic_DES_KNN,0.843208,0.229532,0.547038
split_11+5,Dynamic_KNORA_E,0.826351,0.197098,0.567944
split_11+5,Dynamic_KNORA_U,0.839880,0.182493,0.599303
split_12+4,Dynamic_DES_KNN,0.845300,0.178887,0.599303
split_12+4,Dynamic_KNORA_E,0.828557,0.181189,0.547038
split_12+4,Dynamic_KNORA_U,0.842131,0.180893,0.557491
split_13+3,Dynamic_DES_KNN,0.844817,0.189305,0.616725
split_13+3,Dynamic_KNORA_E,0.832266,0.186826,0.543554
split_13+3,Dynamic_KNORA_U,0.842306,0.185445,0.599303
split_14+2,Dynamic_DES_KNN,0.853140,0.184413,0.585366
split_14+2,Dynamic_KNORA_E,0.822938,0.186100,0.564460
split_14+2,Dynamic_KNORA_U,0.853642,0.173697,0.609756
split_15+1,Dynamic_DES_KNN,0.845549,0.187793,0.627178
split_15+1,Dynamic_KNORA_E,0.793787,0.182249,0.536585
split_15+1,Dynamic_KNORA_U,0.843835,0.182851,0.616725
