fs_method,integration,ensemble,split,AUC,F1,Recall
SHAP,動態集成,Dynamic_KNORA_E,split_5+11,0.764473,0.143784,0.463415
SHAP,動態集成,Dynamic_KNORA_U,split_5+11,0.795829,0.146644,0.452962
SHAP,靜態集成,New_3,split_6+10,0.861957,0.216290,0.550523
SHAP,動態集成,Dynamic_DES_KNN,split_6+10,0.813647,0.156840,0.463415
SHAP,動態集成,Dynamic_KNORA_E,split_6+10,0.787831,0.141570,0.574913
SHAP,動態集成,Dynamic_KNORA_U,split_6+10,0.813461,0.156843,0.547038
SHAP,靜態集成,New_3,split_7+9,0.858364,0.204734,0.602787
SHAP,動態集成,Dynamic_DES_KNN,split_7+9,0.815606,0.161329,0.473868
SHAP,動態集成,Dynamic_KNORA_E,split_7+9,0.780701,0.156780,0.515679
SHAP,動態集成,Dynamic_KNORA_U,split_7+9,0.817425,0.151054,0.536585
SHAP,靜態集成,New_3,split_8+8,0.860128,0.211946,0.574913
SHAP,動態集成,Dynamic_DES_KNN,split_8+8,0.827032,0.177301,0.547038
SHAP,動態集成,Dynamic_KNORA_E,split_8+8,0.793412,0.183623,0.515679
SHAP,動態集成,Dynamic_KNORA_U,split_8+8,0.827496,0.179943,0.547038
SHAP,靜態集成,New_3,split_9+7,0.869470,0.201754,0.641115
SHAP,動態集成,Dynamic_DES_KNN,split_9+7,0.842216,0.181609,0.550523
SHAP,動態集成,Dynamic_KNORA_E,split_9+7,0.834877,0.163905,0.637631
SHAP,動態集成,Dynamic_KNORA_U,split_9+7,0.840240,0.176765,0.554007
SHAP,靜態集成,New_3,split_10+6,0.855301,0.200343,0.609756
SHAP,動態集成,Dynamic_DES_KNN,split_10+6,0.841001,0.195038,0.588850
SHAP,動態集成,Dynamic_KNORA_E,split_10+6,0.834640,0.196178,0.536585
SHAP,動態集成,Dynamic_KNORA_U,split_10+6,0.838546,0.193742,0.560976
SHAP,靜態集成,New_3,split_11+5,0.856899,0.198430,0.616725
SHAP,動態集成,Dynamic_DES_KNN,split_11+5,0.839297,0.163302,0.634146
SHAP,動態集成,Dynamic_KNORA_E,split_11+5,0.824481,0.165751,0.578397
SHAP,動態集成,Dynamic_KNORA_U,split_11+5,0.839073,0.159338,0.637631
SHAP,靜態集成,New_3,split_12+4,0.850985,0.187404,0.637631
SHAP,動態集成,Dynamic_DES_KNN,split_12+4,0.839229,0.161905,0.651568
SHAP,動態集成,Dynamic_KNORA_E,split_12+4,0.832832,0.247878,0.508711
SHAP,動態集成,Dynamic_KNORA_U,split_12+4,0.837152,0.153975,0.641115
SHAP,靜態集成,New_3,split_13+3,0.869780,0.181653,0.696864
SHAP,動態集成,Dynamic_DES_KNN,split_13+3,0.847388,0.157810,0.682927
SHAP,動態集成,Dynamic_KNORA_E,split_13+3,0.818034,0.163375,0.634146
SHAP,動態集成,Dynamic_KNORA_U,split_13+3,0.845136,0.165247,0.675958
SHAP,靜態集成,New_3,split_14+2,0.864127,0.190326,0.630662
SHAP,動態集成,Dynamic_DES_KNN,split_14+2,0.845806,0.181272,0.630662
SHAP,動態集成,Dynamic_KNORA_E,split_14+2,0.816785,0.175661,0.578397
SHAP,動態集成,Dynamic_KNORA_U,split_14+2,0.843628,0.163582,0.662021
SHAP,靜態集成,New_3,split_15+1,0.840843,0.146987,0.735192
SHAP,動態集成,Dynamic_DES_KNN,split_15+1,0.853097,0.179222,0.634146
SHAP,動態集成,Dynamic_KNORA_E,split_15+1,0.799540,0.163748,0.602787
SHAP,動態集成,Dynamic_KNORA_U,split_15+1,0.850904,0.177648,0.634146
RFE,靜態集成,New_3,split_1+15,0.834082,0.177487,0.519164
RFE,動態集成,Dynamic_DES_KNN,split_1+15,0.790369,0.121019,0.529617
RFE,動態集成,Dynamic_KNORA_E,split_1+15,0.726940,0.149216,0.414634
RFE,動態集成,Dynamic_KNORA_U,split_1+15,0.792076,0.146214,0.487805
RFE,靜態集成,New_3,split_2+14,0.833897,0.212991,0.491289
RFE,動態集成,Dynamic_DES_KNN,split_2+14,0.783393,0.133887,0.449477
RFE,動態集成,Dynamic_KNORA_E,split_2+14,0.730978,0.141827,0.411150
RFE,動態集成,Dynamic_KNORA_U,split_2+14,0.785411,0.135760,0.480836
RFE,靜態集成,New_3,split_3+13,0.836429,0.184358,0.574913
RFE,動態集成,Dynamic_DES_KNN,split_3+13,0.789142,0.134615,0.463415
RFE,動態集成,Dynamic_KNORA_E,split_3+13,0.744737,0.125963,0.484321
