split,ensemble,AUC,F1,Recall
split_1+7,Old_3,0.586259,0.210027,0.418551
split_1+7,New_3,0.646315,0.250861,0.487310
split_1+7,All_6,0.635530,0.240661,0.544070
split_2+6,Old_3,0.602915,0.223718,0.529303
split_2+6,New_3,0.649004,0.249407,0.461006
split_2+6,All_6,0.643757,0.242752,0.394093
split_3+5,Old_3,0.623562,0.234424,0.395016
split_3+5,New_3,0.645686,0.253028,0.443470
split_3+5,All_6,0.648251,0.254009,0.500692
split_4+4,Old_3,0.627697,0.237788,0.416705
split_4+4,New_3,0.637326,0.245852,0.485464
split_4+4,All_6,0.649629,0.252971,0.466544
split_5+3,Old_3,0.640502,0.243008,0.425012
split_5+3,New_3,0.628920,0.239135,0.525611
split_5+3,All_6,0.649298,0.247565,0.404707
split_6+2,Old_3,0.644248,0.247594,0.480849
split_6+2,New_3,0.624934,0.233876,0.461006
split_6+2,All_6,0.648731,0.251352,0.493309
split_7+1,Old_3,0.646899,0.251050,0.482695
split_7+1,New_3,0.620998,0.231469,0.551915
split_7+1,All_6,0.649440,0.253165,0.535302
