old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.5822,0.5814,0.4841,0.5660,0.5534
2yr,0.5992,0.5812,0.5481,0.5798,0.5771
3yr,0.5992,0.6030,0.5889,0.5850,0.5940
4yr,0.5908,0.5955,0.5893,0.5917,0.5918
5yr,0.5783,0.5995,0.5848,0.5825,0.5863
6yr,0.5865,0.5814,0.5789,0.6028,0.5874
7yr,0.5810,0.5892,0.6066,0.5888,0.5914
avg,0.5882,0.5902,0.5687,0.5852,0.5831
