old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.3934,0.4417,0.1481,0.5152,0.3746
2yr,0.4342,0.3345,0.2305,0.3371,0.3341
3yr,0.3559,0.3761,0.2930,0.2821,0.3268
4yr,0.2685,0.3051,0.2980,0.2889,0.2901
5yr,0.2443,0.3228,0.2655,0.2683,0.2752
6yr,0.2538,0.2450,0.2560,0.3275,0.2706
7yr,0.2341,0.2440,0.3145,0.2479,0.2601
avg,0.3120,0.3242,0.2579,0.3239,0.3045
