split,method,sampling,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error,tune_val_auc,tune_best_params
split_3+5,Old,oversampling,0.623180,0.229709,0.581503,0.553761,0.144910,0.389365,0.446239,0.667015,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 10, ""min_child_samples"": 50, ""n_estimators"": 200, ""num_leaves"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_3+5,Old,hybrid,0.642815,0.244116,0.584899,0.488233,0.162744,0.299296,0.511767,0.677402,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_samples"": 20, ""n_estimators"": 500, ""num_leaves"": 50, ""reg_alpha"": 0.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_3+5,New,none,0.620419,0.227528,0.561458,0.448546,0.152423,0.297207,0.551454,0.623581,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 100, ""reg_alpha"": 0.0, ""reg_lambda"": 0.0, ""subsample"": 1.0}"
split_3+5,New,undersampling,0.664820,0.271363,0.585354,0.433779,0.197438,0.210107,0.566221,0.665520,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": 10, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 31, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
split_3+5,New,oversampling,0.655287,0.256913,0.566331,0.405168,0.188089,0.208402,0.594832,0.658138,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.03, ""max_depth"": 7, ""min_child_samples"": 100, ""n_estimators"": 200, ""num_leaves"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 1.0}"
split_3+5,New,hybrid,0.648496,0.250000,0.579254,0.452238,0.172748,0.258056,0.547762,0.652920,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 5, ""min_child_samples"": 100, ""n_estimators"": 200, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
split_4+4,Old,none,0.635472,0.246373,0.586142,0.485925,0.165021,0.292973,0.514075,0.671390,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.01, ""max_depth"": 10, ""min_child_samples"": 20, ""n_estimators"": 1000, ""num_leaves"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 3.0, ""subsample"": 0.85}"
split_4+4,Old,undersampling,0.636337,0.241852,0.547229,0.378403,0.177720,0.208622,0.621597,0.665757,"{""colsample_bytree"": 1.0, ""learning_rate"": 0.03, ""max_depth"": -1, ""min_child_samples"": 100, ""n_estimators"": 500, ""num_leaves"": 50, ""reg_alpha"": 0.1, ""reg_lambda"": 1.0, ""subsample"": 0.7}"
split_4+4,Old,oversampling,0.620253,0.228219,0.581204,0.632210,0.139242,0.465688,0.367790,0.640528,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": 7, ""min_child_samples"": 50, ""n_estimators"": 500, ""num_leaves"": 100, ""reg_alpha"": 1.0, ""reg_lambda"": 0.0, ""subsample"": 0.7}"
split_4+4,Old,hybrid,0.646075,0.249204,0.583955,0.469774,0.169582,0.274112,0.530226,0.670400,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.1, ""max_depth"": -1, ""min_child_samples"": 20, ""n_estimators"": 100, ""num_leaves"": 50, ""reg_alpha"": 1.0, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_4+4,New,none,0.666136,0.265394,0.531787,0.327180,0.223237,0.135654,0.672820,0.664692,"{""colsample_bytree"": 0.85, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_samples"": 50, ""n_estimators"": 100, ""num_leaves"": 31, ""reg_alpha"": 0.1, ""reg_lambda"": 0.1, ""subsample"": 1.0}"
split_4+4,New,undersampling,0.656318,0.256772,0.586673,0.461467,0.177873,0.254152,0.538533,0.653908,"{""colsample_bytree"": 0.7, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 50, ""n_estimators"": 200, ""num_leaves"": 50, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.85}"
