new_years,none,undersampling,oversampling,hybrid,avg
7yr,0.2213,0.3193,0.2575,0.2204,0.2546
6yr,0.3079,0.1821,0.2421,0.1594,0.2229
5yr,0.2972,0.2101,0.2084,0.2581,0.2434
4yr,0.1357,0.2542,0.2482,0.1291,0.1918
3yr,0.2664,0.2344,0.1391,0.1431,0.1958
2yr,0.1912,0.1944,0.2488,0.1827,0.2043
1yr,0.3200,0.1831,0.1571,0.2902,0.2376
avg,0.2485,0.2254,0.2144,0.1976,0.2215
