old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.3532,0.5091,0.2569,0.4337,0.3882
2yr,0.3002,0.5487,0.2962,0.3058,0.3627
3yr,0.2299,0.3413,0.3894,0.2993,0.3150
4yr,0.2930,0.2086,0.4657,0.2741,0.3103
5yr,0.3607,0.2967,0.2350,0.2049,0.2743
6yr,0.2943,0.2222,0.1980,0.3035,0.2545
7yr,0.3154,0.3019,0.2799,0.3304,0.3069
avg,0.3067,0.3469,0.3030,0.3074,0.3160
