old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.4669,0.4983,0.5017,0.5540,0.5052
2+14,0.5017,0.4530,0.4355,0.5679,0.4895
3+13,0.4216,0.4808,0.5505,0.5192,0.4930
4+12,0.5157,0.4774,0.4983,0.5331,0.5061
5+11,0.5017,0.4913,0.5401,0.5157,0.5122
6+10,0.4983,0.5087,0.6098,0.5470,0.5409
avg,0.4843,0.4849,0.5226,0.5395,0.5078
