old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.4216,0.1568,0.5296,0.4599,0.3920
2yr,0.1777,0.2544,0.6341,0.6829,0.4373
3yr,0.3763,0.2021,0.6341,0.6132,0.4564
4yr,0.2718,0.2753,0.5993,0.3902,0.3841
5yr,0.2474,0.3101,0.6028,0.4077,0.3920
6yr,0.2683,0.2509,0.3449,0.4669,0.3328
7yr,0.2509,0.2474,0.6969,0.5645,0.4399
8yr,0.3206,0.3310,0.5017,0.4669,0.4051
9yr,0.3763,0.3310,0.4913,0.5819,0.4451
10yr,0.5017,0.4355,0.5122,0.4739,0.4808
11yr,0.4355,0.4390,0.5017,0.5854,0.4904
12yr,0.3868,0.4634,0.3484,0.4425,0.4103
13yr,0.4007,0.4216,0.5540,0.4007,0.4443
14yr,0.4878,0.4530,0.4599,0.4007,0.4503
15yr,0.4042,0.5017,0.3728,0.4286,0.4268
avg,0.3552,0.3382,0.5189,0.4911,0.4258
