old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.1195,0.1079,0.0422,0.0652,0.0837
2+14,0.1218,0.1046,0.0550,0.0751,0.0891
3+13,0.0999,0.1009,0.0648,0.0726,0.0846
4+12,0.1252,0.1143,0.0651,0.0795,0.0960
5+11,0.1471,0.1224,0.0693,0.0781,0.1042
6+10,0.1234,0.1176,0.0755,0.0812,0.0994
avg,0.1228,0.1113,0.0620,0.0753,0.0929
