new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0806,0.0762,0.1258,0.1100,0.0982
14yr,0.0845,0.0849,0.1343,0.0972,0.1002
13yr,0.0947,0.0579,0.1089,0.0911,0.0882
12yr,0.0613,0.0656,0.1109,0.0770,0.0787
11yr,0.0593,0.0579,0.1186,0.0734,0.0773
10yr,0.0710,0.0669,0.1013,0.0754,0.0786
9yr,0.0506,0.0764,0.1455,0.0801,0.0881
8yr,0.0824,0.0734,0.1085,0.1255,0.0974
7yr,0.0511,0.0459,0.0878,0.0674,0.0630
6yr,0.0503,0.0604,0.1090,0.0997,0.0798
5yr,0.0965,0.0262,0.1341,0.1014,0.0895
4yr,0.0865,0.0376,0.0651,0.0916,0.0702
3yr,0.0855,0.0478,0.0736,0.0687,0.0689
2yr,0.0248,0.0235,0.0528,0.0746,0.0439
1yr,0.0589,0.0426,0.0203,0.0200,0.0355
avg,0.0692,0.0562,0.0998,0.0836,0.0772
