new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.2149,0.2273,0.1331,0.1592,0.1836
14yr,0.2117,0.2196,0.1337,0.1584,0.1809
13yr,0.2134,0.2527,0.1368,0.1758,0.1947
12yr,0.2470,0.2393,0.1446,0.1803,0.2028
11yr,0.2507,0.2466,0.1593,0.1877,0.2111
10yr,0.2409,0.2421,0.1582,0.1927,0.2085
9yr,0.2674,0.2204,0.1468,0.1965,0.2078
8yr,0.2279,0.2411,0.1672,0.1658,0.2005
7yr,0.2792,0.2760,0.1555,0.2033,0.2285
6yr,0.2583,0.2554,0.1614,0.1837,0.2147
5yr,0.2217,0.2902,0.1620,0.1815,0.2138
4yr,0.2203,0.2917,0.1681,0.1882,0.2171
3yr,0.2174,0.2573,0.1690,0.1950,0.2097
2yr,0.2696,0.2836,0.1637,0.1787,0.2239
1yr,0.2391,0.2538,0.1597,0.1828,0.2089
avg,0.2386,0.2532,0.1546,0.1820,0.2071
