old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.2703,0.1037,0.3947,0.3466,0.2788
2yr,0.1226,0.1735,0.3862,0.4405,0.2807
3yr,0.2298,0.1373,0.4087,0.3534,0.2823
4yr,0.1111,0.1316,0.3516,0.2370,0.2079
5yr,0.0983,0.1219,0.3700,0.2190,0.2023
6yr,0.1022,0.1017,0.2032,0.2503,0.1643
7yr,0.0961,0.1035,0.4311,0.2932,0.2310
8yr,0.1255,0.1351,0.2634,0.2088,0.1832
9yr,0.1126,0.1027,0.2376,0.2775,0.1826
10yr,0.1521,0.1146,0.2146,0.1767,0.1645
11yr,0.0953,0.1112,0.2070,0.2076,0.1553
12yr,0.0873,0.0943,0.1184,0.1341,0.1085
13yr,0.0787,0.0900,0.2091,0.1117,0.1224
14yr,0.0953,0.0807,0.1573,0.1007,0.1085
15yr,0.0589,0.0840,0.1088,0.0973,0.0873
avg,0.1224,0.1124,0.2708,0.2303,0.1840
