old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.0663,0.0571,0.0588,0.0577,0.0600
2yr,0.0564,0.0598,0.0714,0.0680,0.0639
3yr,0.0685,0.0582,0.0678,0.0749,0.0673
4yr,0.0919,0.0812,0.0736,0.0691,0.0789
5yr,0.0924,0.0968,0.0706,0.0772,0.0843
6yr,0.0969,0.0912,0.0701,0.0783,0.0841
7yr,0.0952,0.0888,0.0707,0.0817,0.0841
8yr,0.0977,0.0949,0.0802,0.0916,0.0911
9yr,0.1237,0.1177,0.0860,0.0883,0.1039
10yr,0.1277,0.1399,0.0977,0.1070,0.1181
11yr,0.1608,0.1442,0.0988,0.1141,0.1295
12yr,0.1536,0.1715,0.1107,0.1256,0.1404
13yr,0.1709,0.1627,0.1077,0.1320,0.1433
14yr,0.1783,0.1877,0.1145,0.1429,0.1559
15yr,0.2090,0.2001,0.1260,0.1560,0.1728
avg,0.1193,0.1168,0.0870,0.0976,0.1052
