old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.6950,0.6723,0.6029,0.6146,0.6462
2+14,0.6749,0.6970,0.6585,0.6140,0.6611
3+13,0.7116,0.6795,0.6162,0.6404,0.6619
4+12,0.6672,0.6870,0.6444,0.6376,0.6590
5+11,0.6810,0.6814,0.6261,0.6466,0.6588
6+10,0.6775,0.6693,0.5879,0.6304,0.6413
avg,0.6845,0.6811,0.6227,0.6306,0.6547
