method,hybrid,none,oversampling,undersampling
Old,0.5035,0.2938,0.5575,0.2416
New,0.4443,0.5331,0.4553,0.5174
Retrain,0.4077,0.4739,0.4286,0.4948
Finetune,0.4605,0.5157,0.4774,0.5151
