test_year,validation_year,method,threshold,validation_AUC,validation_F1,validation_G_Mean,validation_Recall,validation_Precision,validation_Type1_Error,validation_Type2_Error,AUC,F1,G_Mean,Recall,Precision,Type1_Error,Type2_Error
2012,2011,DAWCE_AUC,0.55000000,0.81306008,0.39889197,0.60042570,0.37113402,0.43113772,0.02862308,0.62886598,0.80766569,0.33802817,0.56426224,0.32967033,0.34682081,0.03421132,0.67032967
2012,2011,AdaptiveChoice_AUC,0.26000000,0.83782533,0.38961039,0.61080785,0.38659794,0.39267016,0.03495029,0.61340206,0.83557239,0.34188034,0.56461590,0.32967033,0.35502959,0.03300030,0.67032967
2013,2012,Retrain_under,0.32000000,0.83469074,0.34193548,0.53347579,0.29120879,0.41406250,0.02270663,0.70879121,0.83885049,0.30927835,0.51287757,0.26946108,0.36290323,0.02381670,0.73053892
2013,2012,New_under,0.19000000,0.86315970,0.46470588,0.65091021,0.43406593,0.50000000,0.02391765,0.56593407,0.85989974,0.35016835,0.55141195,0.31137725,0.40000000,0.02351522,0.68862275
2013,2012,Equal6,0.53000000,0.81746032,0.37908497,0.55885014,0.31868132,0.46774194,0.01998183,0.68131868,0.80558509,0.32558140,0.53469084,0.29341317,0.36567164,0.02562557,0.70658683
2013,2012,DAWCE_AUC,0.59000000,0.84558161,0.41471572,0.57878048,0.34065934,0.52991453,0.01665153,0.65934066,0.81502476,0.32352941,0.50855457,0.26347305,0.41904762,0.01839011,0.73652695
2013,2012,AdaptiveChoice_AUC,0.19000000,0.86315970,0.46470588,0.65091021,0.43406593,0.50000000,0.02391765,0.56593407,0.85989974,0.35016835,0.55141195,0.31137725,0.40000000,0.02351522,0.68862275
2014,2013,Retrain_under,0.27000000,0.86234044,0.41520468,0.64173181,0.42514970,0.40571429,0.03135363,0.57485030,0.83326491,0.37179487,0.62836596,0.40845070,0.34117647,0.03331350,0.59154930
2014,2013,New_under,0.23000000,0.88716808,0.45806452,0.64491957,0.42514970,0.49650350,0.02170636,0.57485030,0.84720069,0.36298932,0.59140011,0.35915493,0.36690647,0.02617490,0.64084507
2014,2013,Equal6,0.46000000,0.82747920,0.33787466,0.59649957,0.37125749,0.31000000,0.04160386,0.62874251,0.80836776,0.32947977,0.61956217,0.40140845,0.27941176,0.04372397,0.59859155
2014,2013,DAWCE_AUC,0.65000000,0.86974920,0.39840637,0.54436409,0.29940120,0.59523810,0.01025023,0.70059880,0.83337174,0.37068966,0.54642803,0.30281690,0.47777778,0.01397977,0.69718310
2014,2013,AdaptiveChoice_AUC,0.23000000,0.88716808,0.45806452,0.64491957,0.42514970,0.49650350,0.02170636,0.57485030,0.84720069,0.36298932,0.59140011,0.35915493,0.36690647,0.02617490,0.64084507
