test_year,validation_year,boundary_year,old_start,old_end,new_start,new_end,validation_new3_AUC,validation_new3_F1
2009,2008,2002,1999,2001,2002,2007,0.78117572,0.30222222
2009,2008,2003,1999,2002,2003,2007,0.78918572,0.32924694
2009,2008,2004,1999,2003,2004,2007,0.78876097,0.33953998
2009,2008,2005,1999,2004,2005,2007,0.79386478,0.33392540
2009,2008,2006,1999,2005,2006,2007,0.78746802,0.31856540
2009,2008,2007,1999,2006,2007,2007,0.76892914,0.30563003
2010,2009,2002,1999,2001,2002,2008,0.80516766,0.36697248
2010,2009,2003,1999,2002,2003,2008,0.80455508,0.36678201
2010,2009,2004,1999,2003,2004,2008,0.80863737,0.38615665
2010,2009,2005,1999,2004,2005,2008,0.80331528,0.36097561
2010,2009,2006,1999,2005,2006,2008,0.81141777,0.39552239
2010,2009,2007,1999,2006,2007,2008,0.81210952,0.38545455
2010,2009,2008,1999,2007,2008,2008,0.78303045,0.34296029
2011,2010,2002,1999,2001,2002,2009,0.81555782,0.34397163
2011,2010,2003,1999,2002,2003,2009,0.81792882,0.37142857
2011,2010,2004,1999,2003,2004,2009,0.83653999,0.37727273
2011,2010,2005,1999,2004,2005,2009,0.83322787,0.36734694
2011,2010,2006,1999,2005,2006,2009,0.84596742,0.37575758
2011,2010,2007,1999,2006,2007,2009,0.82081414,0.38396624
2011,2010,2008,1999,2007,2008,2009,0.81694461,0.36796537
2011,2010,2009,1999,2008,2009,2009,0.78428115,0.32946636
2012,2011,2002,1999,2001,2002,2010,0.78874055,0.38481013
2012,2011,2003,1999,2002,2003,2010,0.78866756,0.36094675
2012,2011,2004,1999,2003,2004,2010,0.80701242,0.38227147
2012,2011,2005,1999,2004,2005,2010,0.81306008,0.39889197
2012,2011,2006,1999,2005,2006,2010,0.81005333,0.38636364
2012,2011,2007,1999,2006,2007,2010,0.79934181,0.38797814
2012,2011,2008,1999,2007,2008,2010,0.80157978,0.39276486
2012,2011,2009,1999,2008,2009,2010,0.79872679,0.38043478
2012,2011,2010,1999,2009,2010,2010,0.78377539,0.36553525
2013,2012,2002,1999,2001,2002,2011,0.81845675,0.37593985
2013,2012,2003,1999,2002,2003,2011,0.81967442,0.36734694
2013,2012,2004,1999,2003,2004,2011,0.82348215,0.37254902
2013,2012,2005,1999,2004,2005,2011,0.83671022,0.40104167
2013,2012,2006,1999,2005,2006,2011,0.83639914,0.38694639
2013,2012,2007,1999,2006,2007,2011,0.83802604,0.39080460
2013,2012,2008,1999,2007,2008,2011,0.84459349,0.42042042
2013,2012,2009,1999,2008,2009,2011,0.84461845,0.40883978
2013,2012,2010,1999,2009,2010,2011,0.84558161,0.41471572
2013,2012,2011,1999,2010,2011,2011,0.81984243,0.40625000
2014,2013,2002,1999,2001,2002,2012,0.82963828,0.35000000
2014,2013,2003,1999,2002,2003,2012,0.84127855,0.35514019
2014,2013,2004,1999,2003,2004,2012,0.84910793,0.36257310
2014,2013,2005,1999,2004,2005,2012,0.84901948,0.36787565
2014,2013,2006,1999,2005,2006,2012,0.84505695,0.35754190
2014,2013,2007,1999,2006,2007,2012,0.85136992,0.37377049
2014,2013,2008,1999,2007,2008,2012,0.86974920,0.39840637
2014,2013,2009,1999,2008,2009,2012,0.85261374,0.37288136
2014,2013,2010,1999,2009,2010,2012,0.86307337,0.37174721
2014,2013,2011,1999,2010,2011,2012,0.85231406,0.36904762
2014,2013,2012,1999,2011,2012,2012,0.84169376,0.36764706
2015,2014,2002,1999,2001,2002,2013,0.83426616,0.40517241
2015,2014,2003,1999,2002,2003,2013,0.84645080,0.41406250
2015,2014,2004,1999,2003,2004,2013,0.83981492,0.41379310
2015,2014,2005,1999,2004,2005,2013,0.83615554,0.39826840
2015,2014,2006,1999,2005,2006,2013,0.84346382,0.43089431
2015,2014,2007,1999,2006,2007,2013,0.84631884,0.43065693
2015,2014,2008,1999,2007,2008,2013,0.87074679,0.46666667
2015,2014,2009,1999,2008,2009,2013,0.87358296,0.48163265
2015,2014,2010,1999,2009,2010,2013,0.86999690,0.45957447
2015,2014,2011,1999,2010,2011,2013,0.87315356,0.47230321
2015,2014,2012,1999,2011,2012,2013,0.85049560,0.43508772
2015,2014,2013,1999,2012,2013,2013,0.85725298,0.40345821
2016,2015,2002,1999,2001,2002,2014,0.84604401,0.31730769
2016,2015,2003,1999,2002,2003,2014,0.85077214,0.33212996
2016,2015,2004,1999,2003,2004,2014,0.85671148,0.34170854
2016,2015,2005,1999,2004,2005,2014,0.83688499,0.34065934
2016,2015,2006,1999,2005,2006,2014,0.83795174,0.37267081
2016,2015,2007,1999,2006,2007,2014,0.84422998,0.38918919
2016,2015,2008,1999,2007,2008,2014,0.84729688,0.38647343
2016,2015,2009,1999,2008,2009,2014,0.85838938,0.39631336
2016,2015,2010,1999,2009,2010,2014,0.84969150,0.40952381
2016,2015,2011,1999,2010,2011,2014,0.85814492,0.38235294
2016,2015,2012,1999,2011,2012,2014,0.85388349,0.38345865
2016,2015,2013,1999,2012,2013,2014,0.85237782,0.38345865
2016,2015,2014,1999,2013,2014,2014,0.84726077,0.32411067
2017,2016,2002,1999,2001,2002,2015,0.84460622,0.29787234
2017,2016,2003,1999,2002,2003,2015,0.84800592,0.33557047
2017,2016,2004,1999,2003,2004,2015,0.85164984,0.31428571
2017,2016,2005,1999,2004,2005,2015,0.84723837,0.28248588
2017,2016,2006,1999,2005,2006,2015,0.85654200,0.33532934
2017,2016,2007,1999,2006,2007,2015,0.86583787,0.34939759
2017,2016,2008,1999,2007,2008,2015,0.86207378,0.34196891
2017,2016,2009,1999,2008,2009,2015,0.86746600,0.34080717
2017,2016,2010,1999,2009,2010,2015,0.87154797,0.36521739
2017,2016,2011,1999,2010,2011,2015,0.88188274,0.38202247
2017,2016,2012,1999,2011,2012,2015,0.87569583,0.39160839
2017,2016,2013,1999,2012,2013,2015,0.87369555,0.39548023
2017,2016,2014,1999,2013,2014,2015,0.86340342,0.41791045
2017,2016,2015,1999,2014,2015,2015,0.84245088,0.34123223
2018,2017,2002,1999,2001,2002,2016,0.89406048,0.39215686
2018,2017,2003,1999,2002,2003,2016,0.89467158,0.40384615
2018,2017,2004,1999,2003,2004,2016,0.88567123,0.43859649
2018,2017,2005,1999,2004,2005,2016,0.90790215,0.42105263
2018,2017,2006,1999,2005,2006,2016,0.89923998,0.42857143
2018,2017,2007,1999,2006,2007,2016,0.91268415,0.47422680
2018,2017,2008,1999,2007,2008,2016,0.89347905,0.42105263
2018,2017,2009,1999,2008,2009,2016,0.91607782,0.42105263
2018,2017,2010,1999,2009,2010,2016,0.90428303,0.46153846
2018,2017,2011,1999,2010,2011,2016,0.91684317,0.41509434
2018,2017,2012,1999,2011,2012,2016,0.90594427,0.44444444
2018,2017,2013,1999,2012,2013,2016,0.91662365,0.44067797
2018,2017,2014,1999,2013,2014,2016,0.91178826,0.42718447
2018,2017,2015,1999,2014,2015,2016,0.91207305,0.39583333
2018,2017,2016,1999,2015,2016,2016,0.90234887,0.33644860
