old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.0831,0.0826,0.1379,0.1407,0.1111
2+14,0.0781,0.0779,0.0829,0.0926,0.0829
3+13,0.0792,0.0786,0.0959,0.1355,0.0973
4+12,0.0901,0.0796,0.1393,0.0993,0.1021
5+11,0.0795,0.0855,0.0940,0.0957,0.0887
6+10,0.0900,0.0893,0.0819,0.0948,0.0890
7+9,0.0928,0.0816,0.0845,0.0999,0.0897
8+8,0.0772,0.0832,0.0835,0.0938,0.0844
9+7,0.0780,0.0776,0.0835,0.0957,0.0837
10+6,0.0824,0.0815,0.0820,0.0905,0.0841
11+5,0.0884,0.0879,0.0813,0.0953,0.0882
12+4,0.0962,0.0957,0.1029,0.1197,0.1036
13+3,0.0936,0.1330,0.0979,0.1243,0.1122
14+2,0.1056,0.1004,0.0988,0.1264,0.1078
avg,0.0867,0.0882,0.0962,0.1074,0.0946
