old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.2512,0.2549,0.0943,0.1071,0.1769
2+14,0.2878,0.2908,0.2576,0.2353,0.2679
3+13,0.2855,0.2877,0.1995,0.1276,0.2251
4+12,0.2359,0.2858,0.1008,0.2218,0.2111
5+11,0.2823,0.2430,0.2094,0.2267,0.2404
6+10,0.2255,0.2293,0.2592,0.2140,0.2320
7+9,0.2159,0.2700,0.2559,0.2028,0.2362
8+8,0.2960,0.2640,0.2535,0.2235,0.2593
9+7,0.2902,0.2922,0.2537,0.2133,0.2624
10+6,0.2614,0.2645,0.2588,0.2275,0.2530
11+5,0.2266,0.2283,0.2693,0.2328,0.2392
12+4,0.2236,0.2250,0.1973,0.1698,0.2039
13+3,0.2375,0.1247,0.2189,0.1635,0.1862
14+2,0.1928,0.2159,0.2166,0.1602,0.1964
avg,0.2509,0.2483,0.2175,0.1947,0.2278
