new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.2515,0.2545,0.2562,0.1056,0.2170
14yr,0.2476,0.1915,0.0949,0.1178,0.1629
13yr,0.1013,0.1031,0.0984,0.1460,0.1122
12yr,0.1020,0.0832,0.1014,0.1399,0.1066
11yr,0.0860,0.0890,0.0920,0.0965,0.0909
10yr,0.0875,0.0737,0.0606,0.0794,0.0753
9yr,0.0714,0.0738,0.0739,0.0909,0.0775
8yr,0.0631,0.0648,0.0631,0.0905,0.0704
7yr,0.0722,0.0751,0.0646,0.0665,0.0696
6yr,0.0649,0.0667,0.0484,0.0799,0.0649
5yr,0.0657,0.0660,0.0541,0.0829,0.0672
4yr,0.0636,0.0645,0.0593,0.0619,0.0623
3yr,0.0742,0.0760,0.0649,0.0692,0.0711
2yr,0.0693,0.0707,0.0509,0.0759,0.0667
1yr,0.1108,0.1042,0.0794,0.1035,0.0995
avg,0.1021,0.0971,0.0841,0.0938,0.0943
