method,hybrid,none,oversampling,undersampling
Old,0.6663,0.6682,0.6598,0.6680
New,0.7203,0.7040,0.7044,0.7044
Retrain,0.7119,0.6948,0.6952,0.6951
Finetune,0.7193,0.7040,0.7040,0.7044
