new_years,none,undersampling,oversampling,hybrid,avg
15yr,0.0830,0.0827,0.0822,0.1389,0.0967
14yr,0.0847,0.0979,0.1373,0.1329,0.1132
13yr,0.1353,0.1346,0.1395,0.1277,0.1343
12yr,0.1392,0.1511,0.1410,0.1277,0.1397
11yr,0.1449,0.1438,0.1416,0.1486,0.1447
10yr,0.1418,0.1501,0.1564,0.1562,0.1511
9yr,0.1535,0.1514,0.1528,0.1554,0.1533
8yr,0.1587,0.1560,0.1604,0.1497,0.1562
7yr,0.1448,0.1423,0.1530,0.1610,0.1503
6yr,0.1510,0.1482,0.1728,0.1459,0.1545
5yr,0.1513,0.1524,0.1683,0.1542,0.1566
4yr,0.1771,0.1754,0.1821,0.1850,0.1799
3yr,0.1695,0.1653,0.1717,0.1778,0.1711
2yr,0.1657,0.1649,0.1952,0.1753,0.1753
avg,0.1429,0.1440,0.1539,0.1526,0.1483
