old_years,none,undersampling,oversampling,hybrid,avg
1yr,0.4943,0.4409,0.4218,0.4726,0.4574
2yr,0.5299,0.5292,0.5389,0.5470,0.5363
3yr,0.5062,0.5595,0.5354,0.5441,0.5363
4yr,0.5255,0.5352,0.5366,0.5431,0.5351
5yr,0.4960,0.5406,0.5470,0.5438,0.5318
6yr,0.6094,0.6071,0.5479,0.5556,0.5800
7yr,0.6109,0.6124,0.5472,0.5599,0.5826
8yr,0.6170,0.6144,0.6077,0.5582,0.5993
9yr,0.6252,0.6228,0.6133,0.6134,0.6187
10yr,0.6133,0.6122,0.6123,0.6229,0.6152
11yr,0.6154,0.6143,0.6144,0.6246,0.6172
12yr,0.6121,0.6127,0.6112,0.6188,0.6137
13yr,0.6155,0.6145,0.6122,0.6254,0.6169
14yr,0.6157,0.6144,0.6141,0.6283,0.6181
15yr,0.6147,0.6138,0.6115,0.6314,0.6179
avg,0.5801,0.5829,0.5714,0.5793,0.5784
