old+new_years_finetune,none,undersampling,oversampling,hybrid,avg
1+15,0.4983,0.5017,0.3659,0.4146,0.4451
2+14,0.5296,0.5331,0.5087,0.5261,0.5244
3+13,0.5331,0.5331,0.4704,0.4599,0.4991
4+12,0.5122,0.5366,0.3902,0.5366,0.4939
5+11,0.5296,0.4983,0.4808,0.5261,0.5087
6+10,0.4913,0.4948,0.5052,0.4948,0.4965
7+9,0.4878,0.5226,0.5157,0.4983,0.5061
8+8,0.5366,0.5226,0.5052,0.5087,0.5183
9+7,0.5331,0.5331,0.5052,0.4983,0.5174
10+6,0.5122,0.5122,0.5052,0.4983,0.5070
11+5,0.4843,0.4843,0.5192,0.5366,0.5061
12+4,0.5226,0.5226,0.5017,0.5157,0.5157
13+3,0.5366,0.4425,0.5226,0.5192,0.5052
14+2,0.5052,0.5296,0.5226,0.5192,0.5192
15+1,0.5505,0.5052,0.5261,0.5714,0.5383
avg,0.5175,0.5115,0.4897,0.5082,0.5067
