,none,undersampling,oversampling,hybrid,avg
2yr,0.0000,0.0000,0.0266,0.0230,0.0124
4yr,0.0000,0.0000,0.0256,0.0231,0.0122
6yr,0.0632,0.0000,0.0247,0.0285,0.0291
8yr,0.0667,0.0312,0.0286,0.0331,0.0399
10yr,0.0000,0.0000,0.0410,0.0422,0.0208
12yr,0.0000,0.2800,0.0445,0.0461,0.0927
14yr,0.2632,0.1908,0.0504,0.0504,0.1387
avg,0.0561,0.0717,0.0345,0.0352,0.0494
