,none,undersampling,oversampling,hybrid,avg
14yr,0.2356,0.3524,0.6399,0.6911,0.4798
12yr,0.4067,0.4187,0.6734,0.7086,0.5519
10yr,0.4466,0.3760,0.6630,0.7358,0.5554
8yr,0.3984,0.4112,0.6958,0.7221,0.5569
6yr,0.3576,0.4543,0.7008,0.7166,0.5573
4yr,0.2204,0.4233,0.6508,0.7258,0.5051
2yr,0.3712,0.0834,0.6688,0.7241,0.4619
avg,0.3481,0.3599,0.6704,0.7177,0.5240
