,none,undersampling,oversampling,hybrid
7yr,0.0014,0.0010,0.2142,0.3177
6yr,0.0004,0.0021,0.1906,0.3364
5yr,0.0023,0.0014,0.2385,0.3235
4yr,0.0004,0.0047,0.2008,0.3304
3yr,0.0000,0.0002,0.1627,0.2482
2yr,0.0004,0.0000,0.1437,0.2440
1yr,0.0020,0.0034,0.1319,0.2554
avg,0.0010,0.0018,0.1832,0.2936
