,none,undersampling,oversampling,hybrid,avg
2yr,0.0000,0.0000,0.4023,0.4622,0.2161
4yr,0.0000,0.0000,0.3798,0.4556,0.2089
6yr,0.1441,0.0000,0.4456,0.4831,0.2682
8yr,0.1178,0.0590,0.4399,0.5355,0.2881
10yr,0.0000,0.0000,0.5374,0.6214,0.2897
12yr,0.0000,0.2699,0.5490,0.6237,0.3607
14yr,0.2943,0.2938,0.6379,0.6815,0.4769
avg,0.0794,0.0890,0.4845,0.5519,0.3012
