,none,undersampling,oversampling,hybrid,avg
2+14,0.1080,0.1045,0.4564,0.6272,0.3240
4+12,0.0732,0.0906,0.5331,0.6481,0.3363
6+10,0.0906,0.0906,0.5540,0.6585,0.3484
8+8,0.0906,0.1220,0.5122,0.6481,0.3432
10+6,0.0000,0.0976,0.5052,0.6620,0.3162
12+4,0.1185,0.1220,0.5540,0.6829,0.3693
14+2,0.0627,0.0592,0.5226,0.6272,0.3179
avg,0.0777,0.0981,0.5197,0.6506,0.3365
