,none,undersampling,oversampling,hybrid,avg
2+14,0.7644,0.7689,0.6537,0.7090,0.7240
4+12,0.7722,0.7699,0.6960,0.7367,0.7437
6+10,0.7623,0.7462,0.7255,0.7375,0.7429
8+8,0.7592,0.7809,0.6886,0.7227,0.7379
10+6,0.7027,0.7755,0.6628,0.7277,0.7172
12+4,0.7833,0.7691,0.6758,0.7336,0.7405
14+2,0.7530,0.7714,0.6779,0.7201,0.7306
avg,0.7567,0.7689,0.6829,0.7268,0.7338
