,none,undersampling,oversampling,hybrid
1+7,0.6387,0.6382,0.5726,0.5856
2+6,0.6387,0.6382,0.5726,0.5856
3+5,0.6387,0.6382,0.5726,0.5856
4+4,0.6387,0.6382,0.5726,0.5856
5+3,0.6387,0.6382,0.5726,0.5856
6+2,0.6387,0.6382,0.5726,0.5856
7+1,0.6387,0.6382,0.5726,0.5856
avg,0.6387,0.6382,0.5726,0.5856
