,none,undersampling,oversampling,hybrid
1+7,0.9783,0.9654,0.6770,0.4970
2+6,0.9783,0.9654,0.6770,0.4970
3+5,0.9783,0.9654,0.6770,0.4970
4+4,0.9783,0.9654,0.6770,0.4970
5+3,0.9783,0.9654,0.6770,0.4970
6+2,0.9783,0.9654,0.6770,0.4970
7+1,0.9783,0.9654,0.6770,0.4970
avg,0.9783,0.9654,0.6770,0.4970
