,none,undersampling,oversampling,hybrid,avg
14yr,0.7463,0.7797,0.6962,0.7280,0.7375
12yr,0.7973,0.7735,0.7059,0.7513,0.7570
10yr,0.7969,0.7915,0.7154,0.7826,0.7716
8yr,0.7918,0.7892,0.7365,0.7753,0.7732
6yr,0.7651,0.7879,0.7449,0.7601,0.7645
4yr,0.7033,0.7740,0.7060,0.7768,0.7400
2yr,0.7423,0.6394,0.7027,0.7657,0.7125
avg,0.7633,0.7622,0.7154,0.7628,0.7509
