,none,undersampling,oversampling,hybrid,avg
14yr,0.2254,0.2338,0.0556,0.0547,0.1424
12yr,0.2623,0.2429,0.0577,0.0563,0.1548
10yr,0.2698,0.2440,0.0663,0.0631,0.1608
8yr,0.2788,0.2970,0.0596,0.0563,0.1729
6yr,0.2761,0.2804,0.0656,0.0637,0.1714
4yr,0.2222,0.2796,0.0736,0.0807,0.1640
2yr,0.2260,0.0833,0.0621,0.0665,0.1095
avg,0.2515,0.2373,0.0629,0.0630,0.1537
