,none,undersampling,oversampling,hybrid,avg
14yr,0.0046,0.0098,0.2112,0.2708,0.1241
12yr,0.0113,0.0133,0.2299,0.2794,0.1335
10yr,0.0131,0.0106,0.1809,0.2600,0.1162
8yr,0.0099,0.0097,0.2407,0.2975,0.1394
6yr,0.0081,0.0128,0.2126,0.2363,0.1174
4yr,0.0041,0.0112,0.1500,0.1739,0.0848
2yr,0.0114,0.0018,0.2026,0.2283,0.1110
avg,0.0089,0.0099,0.2040,0.2495,0.1181
