,none,undersampling,oversampling,hybrid,avg
14yr,0.0557,0.1254,0.5192,0.6551,0.3388
12yr,0.1672,0.1777,0.5889,0.6969,0.4077
10yr,0.2021,0.1429,0.5366,0.7317,0.4033
8yr,0.1603,0.1707,0.6376,0.7422,0.4277
6yr,0.1289,0.2091,0.6237,0.6725,0.4085
4yr,0.0488,0.1812,0.4983,0.6376,0.3415
2yr,0.1394,0.0070,0.5610,0.6794,0.3467
avg,0.1289,0.1448,0.5665,0.6879,0.3820
