,none,undersampling,oversampling,hybrid,avg
2yr,0.4631,0.4533,0.4585,0.4631,0.4595
4yr,0.5757,0.5713,0.4556,0.4728,0.5189
6yr,0.6689,0.6230,0.4925,0.5209,0.5763
8yr,0.6651,0.7031,0.5008,0.5440,0.6032
10yr,0.6725,0.7297,0.5788,0.6373,0.6546
12yr,0.7286,0.7363,0.6108,0.6534,0.6823
14yr,0.7635,0.7274,0.6683,0.7149,0.7185
avg,0.6482,0.6492,0.5379,0.5724,0.6019
