,none,undersampling,oversampling,hybrid,avg
2yr,0.0000,0.0000,0.1951,0.3136,0.1272
4yr,0.0000,0.0000,0.1707,0.2962,0.1167
6yr,0.0209,0.0000,0.2648,0.3136,0.1498
8yr,0.0139,0.0035,0.2404,0.3972,0.1638
10yr,0.0000,0.0000,0.3624,0.5505,0.2282
12yr,0.0000,0.0732,0.3728,0.5261,0.2430
14yr,0.0871,0.0871,0.5366,0.6620,0.3432
avg,0.0174,0.0234,0.3061,0.4370,0.1960
