,none,undersampling,oversampling,hybrid
1yr,0.5080,0.6067,0.5180,0.5350
2yr,0.6121,0.6188,0.5273,0.5625
3yr,0.6030,0.6210,0.5606,0.5676
4yr,0.6197,0.6121,0.5460,0.5699
5yr,0.6300,0.6345,0.5561,0.5781
6yr,0.6336,0.6345,0.5527,0.5845
7yr,0.6333,0.6359,0.5605,0.5854
avg,0.6057,0.6234,0.5459,0.5690
