,none,undersampling,oversampling,hybrid
1yr,0.0000,0.0222,0.1989,0.3539
2yr,0.0042,0.0111,0.1906,0.4001
3yr,0.0171,0.0263,0.2778,0.3826
4yr,0.0222,0.0222,0.2737,0.4061
5yr,0.0078,0.0378,0.2976,0.4781
6yr,0.0111,0.0148,0.3521,0.4629
7yr,0.0023,0.0092,0.2787,0.4389
avg,0.0092,0.0205,0.2671,0.4175
