,none,undersampling,oversampling,hybrid
1yr,0.0000,0.1487,0.4095,0.4943
2yr,0.0644,0.1052,0.4006,0.5259
3yr,0.1305,0.1620,0.4702,0.5212
4yr,0.1487,0.1486,0.4644,0.5289
5yr,0.0885,0.1940,0.4805,0.5489
6yr,0.1052,0.1214,0.5096,0.5509
7yr,0.0480,0.0960,0.4729,0.5457
avg,0.0836,0.1394,0.4582,0.5308
