,none,undersampling,oversampling,hybrid
7yr,0.0111,0.0157,0.2986,0.4536
6yr,0.0055,0.0175,0.2778,0.4707
5yr,0.0143,0.0162,0.3429,0.4195
4yr,0.0046,0.0268,0.2626,0.4578
3yr,0.0000,0.0037,0.2275,0.3567
2yr,0.0069,0.0000,0.2017,0.3493
1yr,0.0180,0.0305,0.1966,0.3733
avg,0.0086,0.0158,0.2582,0.4116
