,none,undersampling,oversampling,hybrid
7yr,0.4898,0.6538,0.1424,0.1454
6yr,0.6000,0.5000,0.1479,0.1429
5yr,0.4306,0.5738,0.1462,0.1338
4yr,0.5882,0.4056,0.1348,0.1417
3yr,0.0000,0.6667,0.1428,0.1462
2yr,0.6522,0.0000,0.1432,0.1457
1yr,0.5132,0.5156,0.1508,0.1484
avg,0.4677,0.4736,0.1440,0.1435
