,none,undersampling,oversampling,hybrid
1+7,0.5732,0.5474,0.1491,0.1347
2+6,0.5732,0.5474,0.1491,0.1347
3+5,0.5732,0.5474,0.1491,0.1347
4+4,0.5732,0.5474,0.1491,0.1347
5+3,0.5732,0.5474,0.1491,0.1347
6+2,0.5732,0.5474,0.1491,0.1347
7+1,0.5732,0.5474,0.1491,0.1347
avg,0.5732,0.5474,0.1491,0.1347
