,none,undersampling,oversampling,hybrid
7yr,0.9889,0.9843,0.7014,0.5464
6yr,0.9945,0.9825,0.7222,0.5293
5yr,0.9857,0.9838,0.6571,0.5805
4yr,0.9954,0.9732,0.7374,0.5422
3yr,1.0000,0.9963,0.7725,0.6433
2yr,0.9931,1.0000,0.7983,0.6507
1yr,0.9820,0.9695,0.8034,0.6267
avg,0.9914,0.9842,0.7418,0.5884
