,none,undersampling,oversampling,hybrid,avg
2+14,0.0076,0.0076,0.1891,0.2766,0.1202
4+12,0.0062,0.0050,0.2177,0.2499,0.1197
6+10,0.0063,0.0072,0.2111,0.2679,0.1231
8+8,0.0063,0.0096,0.2034,0.2800,0.1248
10+6,0.0000,0.0072,0.2243,0.2932,0.1312
12+4,0.0083,0.0098,0.2483,0.2984,0.1412
14+2,0.0063,0.0059,0.2426,0.2519,0.1267
avg,0.0059,0.0075,0.2195,0.2740,0.1267
