,none,undersampling,oversampling,hybrid
1+7,0.0418,0.0651,0.2040,0.2124
2+6,0.0418,0.0651,0.2040,0.2124
3+5,0.0418,0.0651,0.2040,0.2124
4+4,0.0418,0.0651,0.2040,0.2124
5+3,0.0418,0.0651,0.2040,0.2124
6+2,0.0418,0.0651,0.2040,0.2124
7+1,0.0418,0.0651,0.2040,0.2124
avg,0.0418,0.0651,0.2040,0.2124
