,none,undersampling,oversampling,hybrid,avg
2yr,1.0000,1.0000,0.8049,0.6864,0.8728
4yr,1.0000,1.0000,0.8293,0.7038,0.8833
6yr,0.9791,1.0000,0.7352,0.6864,0.8502
8yr,0.9861,0.9965,0.7596,0.6028,0.8363
10yr,1.0000,1.0000,0.6376,0.4495,0.7718
12yr,1.0000,0.9268,0.6272,0.4739,0.7570
14yr,0.9129,0.9129,0.4634,0.3380,0.6568
avg,0.9826,0.9766,0.6939,0.5630,0.8040
