,none,undersampling,oversampling,hybrid
1+7,0.0217,0.0346,0.3230,0.5030
2+6,0.0217,0.0346,0.3230,0.5030
3+5,0.0217,0.0346,0.3230,0.5030
4+4,0.0217,0.0346,0.3230,0.5030
5+3,0.0217,0.0346,0.3230,0.5030
6+2,0.0217,0.0346,0.3230,0.5030
7+1,0.0217,0.0346,0.3230,0.5030
avg,0.0217,0.0346,0.3230,0.5030
