,none,undersampling,oversampling,hybrid,avg
2yr,0.0000,0.0000,0.1707,0.3188,0.1224
4yr,0.0000,0.0000,0.1553,0.2991,0.1136
6yr,0.0074,0.0000,0.2500,0.2558,0.1283
8yr,0.0047,0.0026,0.1952,0.2779,0.1201
10yr,0.0000,0.0004,0.2030,0.2986,0.1255
12yr,0.0003,0.0045,0.1915,0.2605,0.1142
14yr,0.0058,0.0088,0.2417,0.2984,0.1387
avg,0.0026,0.0023,0.2011,0.2870,0.1232
