,none,undersampling,oversampling,hybrid
1+7,0.0019,0.0034,0.2197,0.3852
2+6,0.0019,0.0034,0.2197,0.3852
3+5,0.0019,0.0034,0.2197,0.3852
4+4,0.0019,0.0034,0.2197,0.3852
5+3,0.0019,0.0034,0.2197,0.3852
6+2,0.0019,0.0034,0.2197,0.3852
7+1,0.0019,0.0034,0.2197,0.3852
avg,0.0019,0.0034,0.2197,0.3852
