,none,undersampling,oversampling,hybrid
7yr,0.0217,0.0306,0.1929,0.2202
6yr,0.0110,0.0339,0.1931,0.2192
5yr,0.0277,0.0314,0.2050,0.2029
4yr,0.0092,0.0502,0.1782,0.2164
3yr,0.0000,0.0073,0.1755,0.2074
2yr,0.0137,0.0000,0.1675,0.2057
1yr,0.0348,0.0575,0.1707,0.2123
avg,0.0169,0.0301,0.1833,0.2120
