,none,undersampling,oversampling,hybrid
1+7,0.1471,0.1857,0.5020,0.5561
2+6,0.1471,0.1857,0.5020,0.5561
3+5,0.1471,0.1857,0.5020,0.5561
4+4,0.1471,0.1857,0.5020,0.5561
5+3,0.1471,0.1857,0.5020,0.5561
6+2,0.1471,0.1857,0.5020,0.5561
7+1,0.1471,0.1857,0.5020,0.5561
avg,0.1471,0.1857,0.5020,0.5561
