,none,undersampling,oversampling,hybrid
7yr,0.6415,0.6440,0.5693,0.5896
6yr,0.6458,0.6444,0.5725,0.5906
5yr,0.6444,0.6469,0.5800,0.5724
4yr,0.6410,0.6326,0.5504,0.5953
3yr,0.6368,0.6379,0.5591,0.5874
2yr,0.6429,0.6353,0.5566,0.5841
1yr,0.6349,0.6343,0.5689,0.5912
avg,0.6410,0.6393,0.5653,0.5872
