,none,undersampling,oversampling,hybrid
7yr,0.1052,0.1252,0.4844,0.5563
6yr,0.0744,0.1323,0.4742,0.5589
5yr,0.1195,0.1270,0.5110,0.5327
4yr,0.0679,0.1632,0.4581,0.5537
3yr,0.0000,0.0608,0.4364,0.5179
2yr,0.0832,0.0000,0.4155,0.5139
1yr,0.1340,0.1742,0.4131,0.5273
avg,0.0835,0.1118,0.4561,0.5372
