,none,undersampling,oversampling,hybrid
1yr,0.0000,0.0017,0.1567,0.3097
2yr,0.0002,0.0010,0.1578,0.3087
3yr,0.0021,0.0023,0.2042,0.2898
4yr,0.0019,0.0035,0.2120,0.3111
5yr,0.0007,0.0052,0.2242,0.3698
6yr,0.0011,0.0020,0.2626,0.3443
7yr,0.0001,0.0008,0.1978,0.3215
avg,0.0009,0.0024,0.2022,0.3221
