,none,undersampling,oversampling,hybrid,avg
2+14,0.1516,0.1471,0.0975,0.0951,0.1228
4+12,0.1099,0.1394,0.1003,0.1072,0.1142
6+10,0.1340,0.1303,0.1068,0.1024,0.1184
8+8,0.1337,0.1602,0.1023,0.0971,0.1233
10+6,0.0000,0.1397,0.0929,0.0951,0.0819
12+4,0.1615,0.1595,0.0929,0.0965,0.1276
14+2,0.0945,0.0907,0.0896,0.1032,0.0945
avg,0.1122,0.1381,0.0975,0.0995,0.1118
