,none,undersampling,oversampling,hybrid,avg
2+14,0.2541,0.2479,0.0546,0.0515,0.1520
4+12,0.2211,0.3023,0.0554,0.0584,0.1593
6+10,0.2574,0.2321,0.0591,0.0555,0.1510
8+8,0.2549,0.2333,0.0568,0.0525,0.1494
10+6,0.0000,0.2456,0.0511,0.0513,0.0870
12+4,0.2537,0.2303,0.0507,0.0519,0.1467
14+2,0.1915,0.1932,0.0490,0.0562,0.1225
avg,0.2047,0.2407,0.0538,0.0539,0.1383
